"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2020","329.88","329.88","329.88","329.88","","0.00%"
"09/25/2020","329.88","323.74","330.71","322.75","4.18M","1.63%"
"09/24/2020","324.60","322.32","327.90","320.92","4.23M","0.26%"
"09/23/2020","323.75","332.09","332.38","323.22","4.37M","-2.77%"
"09/22/2020","332.97","331.23","333.57","328.50","2.86M","1.01%"
"09/21/2020","329.63","328.42","329.74","324.35","6.18M","-1.11%"
"09/18/2020","333.34","338.17","338.21","330.64","3.20M","-1.17%"
"09/17/2020","337.29","334.94","339.01","334.34","3.10M","-0.86%"
"09/16/2020","340.21","342.95","344.47","339.95","2.45M","-0.40%"
"09/15/2020","341.57","342.52","343.42","340.41","2.55M","0.51%"
"09/14/2020","339.84","338.86","341.66","338.32","2.83M","1.33%"
"09/13/2020","335.38","335.38","335.38","335.38","","0.00%"
"09/11/2020","335.38","337.12","338.27","332.35","3.49M","0.05%"
"09/10/2020","335.22","343.26","343.91","334.21","5.06M","-1.75%"
"09/09/2020","341.18","338.98","343.89","337.98","5.38M","1.96%"
"09/08/2020","334.63","338.05","339.40","334.23","5.00M","-2.72%"
"09/04/2020","343.98","347.60","349.29","336.26","5.36M","-0.82%"
"09/03/2020","346.82","357.38","357.88","344.02","7.77M","-3.46%"
"09/02/2020","359.24","356.18","360.26","354.93","3.60M","1.46%"
"09/01/2020","354.06","351.68","354.18","350.70","3.70M","0.94%"
"08/31/2020","350.77","351.81","352.77","350.51","5.76M","-0.35%"
"08/30/2020","352.00","352.00","352.00","352.00","","0.00%"
"08/28/2020","352.00","350.89","352.19","349.66","2.52M","0.64%"
"08/27/2020","349.76","349.66","351.32","347.98","3.77M","0.22%"
"08/26/2020","349.00","346.11","349.27","345.58","3.67M","1.02%"
"08/25/2020","345.49","344.96","345.60","343.71","4.00M","0.33%"
"08/24/2020","344.35","343.52","344.42","342.45","2.08M","1.03%"
"08/23/2020","340.85","340.85","340.85","340.85","","0.00%"
"08/21/2020","340.85","339.23","341.05","338.95","2.06M","0.35%"
"08/20/2020","339.66","336.73","340.15","336.59","1.80M","0.31%"
"08/19/2020","338.62","340.40","341.00","338.02","1.91M","-0.41%"
"08/18/2020","340.00","339.72","340.46","337.98","1.63M","0.21%"
"08/17/2020","339.28","339.32","339.72","338.87","1.64M","0.32%"
"08/14/2020","338.19","337.76","338.79","337.05","1.72M","-0.01%"
"08/13/2020","338.22","338.00","339.62","337.18","2.64M","-0.17%"
"08/12/2020","338.80","336.85","339.64","336.80","2.91M","1.39%"
"08/11/2020","334.14","338.24","338.88","333.38","3.60M","-0.84%"
"08/10/2020","336.96","336.42","337.15","334.33","2.22M","0.30%"
"08/09/2020","335.95","335.95","335.95","335.95","","0.00%"
"08/08/2020","335.95","335.95","335.95","335.95","","0.00%"
"08/07/2020","335.95","334.60","336.18","333.65","3.05M","0.07%"
"08/06/2020","335.71","332.85","335.81","332.48","3.30M","0.68%"
"08/05/2020","333.45","332.83","333.70","332.52","2.44M","0.65%"
"08/04/2020","331.30","329.19","331.40","329.19","3.58M","0.36%"
"08/03/2020","330.11","329.66","330.93","329.06","2.84M","0.70%"
"08/02/2020","327.82","327.82","327.82","327.82","","0.00%"
"07/31/2020","327.82","327.21","327.89","322.63","4.68M","0.79%"
"07/30/2020","325.26","323.19","325.71","320.90","3.29M","-0.34%"
"07/29/2020","326.38","323.41","327.01","323.36","2.34M","1.20%"
"07/28/2020","322.50","323.67","324.93","322.14","2.51M","-0.62%"
"07/27/2020","324.50","322.89","324.69","322.06","3.43M","0.74%"
"07/26/2020","322.13","322.13","322.13","322.13","","0.00%"
"07/25/2020","322.13","322.13","322.13","322.13","","0.00%"
"07/24/2020","322.13","322.20","323.27","320.55","3.42M","-0.64%"
"07/23/2020","324.20","327.72","328.52","322.75","3.02M","-1.21%"
"07/22/2020","328.17","325.91","330.06","325.79","3.18M","0.59%"
"07/21/2020","326.25","327.75","328.22","325.26","3.11M","0.18%"
"07/20/2020","325.66","322.69","326.36","321.90","2.35M","0.83%"
"07/17/2020","322.99","323.15","323.85","321.01","2.25M","0.29%"
"07/16/2020","322.04","321.05","322.50","320.35","2.39M","-0.35%"
"07/15/2020","323.16","323.69","324.32","320.53","3.89M","0.93%"
"07/14/2020","320.17","314.52","320.59","313.24","7.14M","1.30%"
"07/13/2020","316.07","321.35","323.97","315.38","5.09M","-0.89%"
"07/12/2020","318.90","318.90","318.90","318.90","","0.00%"
