volume,vw,open,close,high,low,timestamp,transactions
23497980.0,1.8569,1.8347,1.8573,1.8866,1.8233,2011-06-10 04:00:00,9941
25706415.0,1.8966,1.8713,1.8953,1.9253,1.8587,2011-06-13 04:00:00,11722
23599650.0,1.9395,1.9027,1.9067,1.98,1.9013,2011-06-14 04:00:00,10234
20198685.0,1.8504,1.896,1.8213,1.8967,1.8047,2011-06-15 04:00:00,9110
27619860.0,1.7761,1.8447,1.7667,1.8667,1.716,2011-06-16 04:00:00,11838
25709475.0,1.7839,1.7913,1.7667,1.8467,1.7427,2011-06-17 04:00:00,10869
23065635.0,1.7289,1.7527,1.734,1.764,1.7,2011-06-20 04:00:00,9106
22448445.0,1.7945,1.7493,1.8353,1.8487,1.7333,2011-06-21 04:00:00,9844
22132995.0,1.8413,1.8247,1.814,1.8833,1.8067,2011-06-22 04:00:00,10784
17549850.0,1.8043,1.8133,1.8473,1.848,1.7473,2011-06-23 04:00:00,7884
54132870.0,1.8383,1.8427,1.8377,1.8647,1.8173,2011-06-24 04:00:00,8547
27140505.0,1.8547,1.8487,1.8307,1.8853,1.8207,2011-06-27 04:00:00,6800
13336980.0,1.87,1.8527,1.874,1.8833,1.8447,2011-06-28 04:00:00,5448
21925620.0,1.9075,1.9,1.886,1.9393,1.8713,2011-06-29 04:00:00,7021
14199810.0,1.9348,1.9,1.942,1.9553,1.8933,2011-06-30 04:00:00,5832
12809910.0,1.9467,1.938,1.9347,1.9733,1.92,2011-07-01 04:00:00,4942
14939835.0,1.9424,1.9347,1.9427,1.968,1.914,2011-07-05 04:00:00,6202
13903335.0,1.9206,1.9427,1.9307,1.9427,1.9033,2011-07-06 04:00:00,6020
19917315.0,1.9791,1.9427,1.982,2.0,1.934,2011-07-07 04:00:00,7276
18608700.0,1.9408,1.9927,1.9207,1.9927,1.906,2011-07-08 04:00:00,7527
14635545.0,1.8858,1.8933,1.89,1.902,1.8667,2011-07-11 04:00:00,7030
15681090.0,1.9077,1.8913,1.878,1.9393,1.8667,2011-07-12 04:00:00,6021
15989130.0,1.9111,1.8953,1.9093,1.9353,1.86,2011-07-13 04:00:00,7015
17386965.0,1.8489,1.902,1.8407,1.9307,1.8167,2011-07-14 04:00:00,7209
10634310.0,1.8371,1.8527,1.8387,1.8553,1.8267,2011-07-15 04:00:00,4766
12784755.0,1.8017,1.8227,1.8153,1.83,1.7753,2011-07-18 04:00:00,5155
15390720.0,1.8551,1.8387,1.8593,1.874,1.836,2011-07-19 04:00:00,5472
45725910.0,1.9457,1.8667,1.9127,2.0293,1.8533,2011-07-20 04:00:00,15687
15180090.0,1.9177,1.9273,1.9133,1.944,1.8733,2011-07-21 04:00:00,6677
8758020.0,1.9418,1.9133,1.9527,1.9693,1.9034,2011-07-22 04:00:00,3494
10102365.0,1.9145,1.934,1.8993,1.95,1.896,2011-07-25 04:00:00,4083
11443980.0,1.8774,1.8873,1.8667,1.918,1.8647,2011-07-26 04:00:00,4790
14376045.0,1.8497,1.9,1.8427,1.9,1.834,2011-07-27 04:00:00,5712
14080935.0,1.8766,1.84,1.878,1.9033,1.836,2011-07-28 04:00:00,5716
14221905.0,1.8641,1.8533,1.878,1.8933,1.8333,2011-07-29 04:00:00,5217
17472330.0,1.9072,1.9113,1.918,1.932,1.8807,2011-08-01 04:00:00,7333
23239800.0,1.8891,1.9127,1.8227,1.9467,1.818,2011-08-02 04:00:00,9184
27019935.0,1.8042,1.8333,1.8133,1.8553,1.7557,2011-08-03 04:00:00,10149
45983940.0,1.7028,1.7673,1.65,1.7927,1.6447,2011-08-04 04:00:00,18151
29456940.0,1.5897,1.666,1.616,1.692,1.522,2011-08-05 04:00:00,12138
39124740.0,1.5831,1.54,1.576,1.6293,1.54,2011-08-08 04:00:00,16797
19998870.0,1.6451,1.61,1.6707,1.6967,1.58,2011-08-09 04:00:00,8292
23462205.0,1.6174,1.696,1.588,1.696,1.5753,2011-08-10 04:00:00,9201
12547260.0,1.6662,1.6027,1.6867,1.7167,1.6,2011-08-11 04:00:00,5247
15135300.0,1.7583,1.7067,1.754,1.8093,1.6907,2011-08-12 04:00:00,6705
11078580.0,1.7481,1.7747,1.7487,1.7833,1.7287,2011-08-15 04:00:00,4849
8065320.0,1.7401,1.742,1.74,1.7693,1.722,2011-08-16 04:00:00,2951
9656580.0,1.7288,1.7593,1.722,1.7767,1.7007,2011-08-17 04:00:00,4154
15848535.0,1.6054,1.6667,1.6173,1.6767,1.5647,2011-08-18 04:00:00,6304
20629155.0,1.5283,1.5907,1.4867,1.6147,1.4667,2011-08-19 04:00:00,8238
14792715.0,1.4899,1.5407,1.4633,1.5867,1.4453,2011-08-22 04:00:00,6100
13034520.0,1.4988,1.462,1.5307,1.5407,1.4333,2011-08-23 04:00:00,5897
10263570.0,1.5587,1.54,1.5913,1.5953,1.522,2011-08-24 04:00:00,4106
10203150.0,1.5507,1.5913,1.5407,1.5913,1.5267,2011-08-25 04:00:00,4935
11426340.0,1.5475,1.514,1.582,1.5967,1.4713,2011-08-26 04:00:00,4949
12049530.0,1.6369,1.6147,1.6473,1.6567,1.6013,2011-08-29 04:00:00,4817
5499885.0,1.6298,1.6333,1.642,1.6513,1.606,2011-08-30 04:00:00,2627
12356025.0,1.6519,1.6533,1.6493,1.7,1.6187,2011-08-31 04:00:00,4349
12721275.0,1.6186,1.644,1.6,1.658,1.589,2011-09-01 04:00:00,5933
11554965.0,1.5398,1.5773,1.538,1.5993,1.512,2011-09-02 04:00:00,4993
12146400.0,1.5096,1.5,1.5293,1.5467,1.486,2011-09-06 04:00:00,5414
6887790.0,1.5778,1.5593,1.5893,1.6,1.552,2011-09-07 04:00:00,3205
7585455.0,1.5761,1.572,1.574,1.602,1.552,2011-09-08 04:00:00,3126
10038945.0,1.5313,1.558,1.5313,1.5713,1.5033,2011-09-09 04:00:00,4658
8498565.0,1.5206,1.5,1.5253,1.554,1.4967,2011-09-12 04:00:00,3875
